content,score
"Ini kenapa abis diupdate gabisa dipake? Dikirim link ke SMS, link nya masuk, tapi pas di klik gabisa.. Gimana ini?",1
"Payah pesan gofood, cari driver sampai 1 jam",1
Hati² kalo pake gojek jagan sape hilang nomor nya conto nya saya mau ganti no yang baru ehh malah bacaan nya sistim elor dan rusak dah beberapa kali di proses tetep aja sistim rusak padahal ni akun gojek resmi puya saya dan ada gmail nya mana lagi di gopay nya ada uang 670rb gk bisa di ambil,1
"BERULANG KALI SAYA PESAN GOFOOD, ESTIMASI 45MENIT, 30 MENIT BERLALU MALAH MENJADI 45 MENIT, SUDAH NUNGGU 60 MENIT MALAH DI CANCEL ORDER NYA TOLONG MAINTENANCE SISTEM NYA, GA CUMA ROBOT DOANK YANG JAWAB KELUHAN NYA",1
"Dear pihak gojek,saya menunggu sekali peningkatan dri gojek agar diadakannya login faceunlock agar semua yang lupa email dan kartu mati bisa masuk kembali dengan foto muka sendiri.",1
Sangat mengecewakan karena jawaban atas laporan saya sangat lama ditunggu,1
Ketika menulis alamat di gosend susah untuk memghapus dan ingin merubah. Mesti ke blog semua dan harus di hps semua,1
Klo ngambil promo drivernya banyak yg nolak ..,3
"hampir 2 minggu ga dikasih orderan, padahal akun aktif, onbid dari pagi sampe sore ga bunyi2 aplikasinya.",1
Aplikasi bagus...meski ongkos mahal lebih mahal dari Grab..tapi santai aja...gua kan kaya😁 dan ini aplikasi saat ada promo baru saya gunakan..sungguh irit.. pas tak ada promo..lirik tetangga lain yg ada promo😂.. Woi... Pilihan bayar tunai tak ada di opsi.. Kesannya maksa org utk pakai Gopay..,1
"Tolong untuk drivernya lain kali dicek dulu nomornya aktif atau tidak, kendaraannya layak jalan atau tidak, seringnya karena kendala driver jadinya penumpang juga kesulitan",1
"NYESEL LANGGANAN GOFOOD PLUS 90 HARI. DIKIRA VOUCHER LAINNYA ADA JUGA. TAPI MALAH SAMA SEKALI GA ADA VOUCHER LAIN. DAN, PALING SEBEL DI APLIKASI GOFOOD MILIK ORANG LAIN YG GA LANGGANAN GOFOOD PLUS BANYAK VOUCHERNYA JATOHNYA KALO ORDER MAKANAN LEBIH MURAH YANG GA LANGGANAN GOFOOD PLUS.",1
"kenp sering pesen gojek selalu di cansel, padahal jarak tempuh ngk terlalu panjang, dan sering peta y ngawur cari rute, di kembangkan lagi jangan sampe kendor",3
Lamaaa gada yg mau ambil,1
"Udah langganan gojek dari lama, tpi update an kali ini bikin kecewa, udah gabisa make 2x voucher, focus sama go pay later terus, maaf saya kasih bintang 🌟 (1) karena saya kecewa.",1
"Gojek aneh akun gojek saya di blokir padahal saya tidak, pernah ngasih nomor atau data pribadi akun, gopay saya tapi aneh ya akun saya di blokir katanya ada transaksi mencurigakan jadi tolong pihak gojek untuk membuka akun gopay saya!!!!.",1
Tampilan rating restonya bikin menjatuhkan restonya kak. Tolong nggak usah ditampilkan ulasan restonya. Kasihan restonya. Cukup bintangnya aja. Ulasan ngga usah.,1
Cepat,2
kenapaaa setelah mendaftar akunnya lngsung eror. bgtu buka untuk dipke nggk bisa lgi,1
"Saya sangat kecewa,kenapa saya tidak dapat mengajukan gopay pinjam,padahal saya pengguna aplikasi go jek sudah ada 7 tahun lebih,disaat saya sedang membutuhkan kenapa dari go jek tidak membantu.",3
Tidak bisa upgrade gopay plus padahal data sudah sesuai seperti di dukcapil dan sudah sesuai dengan ketentuan dari gojek,2
Payah saya susah mendapatkan orderan samasekali,1
Aplikasi gojek tidak bisa di buka..error terus uda di hapus n install baru pun gak bisa di buka.. Tolong solusinya,1
"Ini gimana si sy tidak bisa menggunakan aplikasi gojek , tolong di perbaiki",1
"Maaf ya gojek ini sudah tidak, berguna lagi mohon jangan di gunakan dulu oke, 😞",1
Apk suka eror hingga tidak bisa memantau pesanan saya..,3
"Aneh banget deh sekarang kalo dapet driver jauh jauh bgt, harus di cancel dulu trus order lagi baru dapet yang rada deket. Tolong dibenahi lagi dong",3
"Aplikasi rusak cari driver aja susah,, bagian GRAB banyak",1
Ko sekarang gk bisa tarik tunai ya untuk gopay nya,3
"Saya sangat lama untuk mendapatkan driver. Butuh waktu lebih dari satu jam, padahal wilayah tempat tinggal saya, dekat dengan kota",1
paket terkirim penerima belom terima transaksi sudah diselesaikan selalu begini,1
Td mau gosend barang utk anak di ponpes gak ada drivernya. Sampai 15 menit tunggu tetap gak ada.,2
Kenapa untuk bepergian susah bangat ..biasa mudah ..sekarang nampaknya di persulit sekali . saya biasa pelanggan rutin tapi hari ini ...persyaratan nya sangat sulit ...sehingga saya terpaksa naik angkot .....untuk apa peraturan dirobah menyusahkan pelanggan saja . .,1
"Kepada pengembang aplikasi, kenapa setelah update saya rasakan vitur menu2nya semakin rumit ya? Kalau bisa ketika update kembali menu2 dan vitur dibuat seperti aplikasi yang versi sebelumnya supaya lebih mudah digunakan dan tidak membingungkan.",3
Tiap mw psen gojek tulisanny driver nya sedang sibuk,1
"Wkwkwkwk.banyak org kasih ratting jelek tp ratting d aplikasi 4,6 kalian beli bintang.jgn banyak EKSPERIMEN ga jelas, sistem d otak Atik tp driver korban dan cs.",1
Ini kenpa top up dri habis magrib sampe jm tengah 1 dini hari blm masuk masuk ...,2
"Selamat malah min, kenapa akun saya tidak bisa login menggunakan email dan nomer hp yang lama yaa Karna saya sudah hampir 3 bulan tidak buka akun ,pas mau login tidak bisa bisa",2
Kenapa sehabis update akun saya tiba2 logout sendiri dan gak bisa login lagi,1
saat memasuki pengiriman kode OTP Nomer saya hanya salah 1 angka dan kode OTP yang di kirim pasti juga gak bisa karena kurang 1 angka saja dan juga di persulit karena harus menghubungi pihak customer karena membutuh kan pulsa (sudah gk jaman lagi pakai pulsa),1
MOHON PIHAK GOJEK SAYA DRI ANAK JB TAPI BIASA SALDO GUA KE DIBLOKIR ATAU GK BISA TF MOHON LAH PINAK GOJEK BIAR APLIKASI BISA LGI DIPAKAI ANJG,1
Dodol,1
Kecewa masa iya top up hrs nunggu 2 hri kerja Baru bisa masuk. Atuh ini udh jaman super canggih hduuuh,1
"Sekarang susah cari driver, engga dapet2 sampe nunggu 2 jam pun kadang belum dapet2",2
"Limit Paylater tidak bisa digunakan ?? Percuma dikasih limit tetapi tidak bisa digunakan , buat apa ???? Semenjak dipindahkan ke MAB super jelek ini aplikasi Gojek..... Jangan memperbaiki costumer donk...saya sudah lama sekali menjadi pelanggan gojek..... Kalo seperti ini terus mending saya UNISTALL GOJEK. dan saya tidak.akan rekomen ke orang lain untuk gunakan Gojek....katena gojek sekarang Super Buruk sekali.....!!!!",1
Loading terus kenapa ini,1
Kntl. Banyak masalahnya,1
"ongkos kirim semakin hari semakin mahal, diskon ongkir juga sudah jarang-jarang",3
"Makin kedepan makin buruk,paylater limit tak bisa dipake/diblokir padahal tidak ada tagihan,aplikasi tak bisa login,force close terus,aplikasi SAMPAH,UNINSTALL SAJA,SAMPAH !!!",1
Sulit mendapatkan driver !!!,1
Ongkirnya gila bet pdhl jaraknya deket.,2
Kenapa akun saya susah di buka?,1
"Kok voucher hilang semua lalu gk bisa ngikutin promo"" Jadi voucher"" Gofood gojek gosend hilang, masa promonya pick up 50% pake akun kawan bisa pake akun saya gk bisa cuma bacaan promo tapi promonya gk ada gk jelas",1
gosendnya gak bisa bayar ditempat nyusahin,1
"Mahal bangt kampretttt, cuman 5 mnit doang malah 20 rbu, ckckkx ya Allah, pdhal awal2 perasaan cumn 6rbu doang, ckckck, liat aja, kalo ad aplikasi yg baru, bakalan ngk laku lu",1
"Kok kode tarik tunai nya msih diproses, padahal sudah lebih dari sejam, padahal duitnya butuh banget buat operasi, hadeeeehhh",1
Pesanan sering tidak sesuai kalau tidak di cek,1
Tolong kepada pihak gojek Saya sudah diterima driver gojek gimana saya bisa jadi driver gojek terima kasih,1
"Aplikasinya akhir-akhir ini bermasalah. (1) loading lambat. (2) gopay paylater tidak bisa digunakan walaupun saldonya masih full. Padahal sebelumnya sangat bisa diandalkan. Sekarang susah, masuk kehalaman Paylater saja tidak bisa.bagian bantuan tidak memberikan solusi. Padahal kalau telat bayar sehari saja kena denda 50k. Kembalikanlah kemudahan gopay yang dulu.....beri 1 untuk tingkat kepuasan nanti kalau udah fix saya akan ubah jadi 5.",1
"sinyal udah pasti ada aplikasi nya aja yg kacau tdk bs menmpilkan harga aja trs suruh hapus promo, banyak bugsnya. Internet sudah bagus stabil juga JD percuma, buat apa ada jasa aplikasi kalo smenakin kacau begini!!!!!",1
"baru kali ini saya isi pulsa gak masuk, dana sudah terpotong, pulsa gak masuk!!! dh buat lapor suruh chat machant, entah siapa mau di chat!",1
Maaf kenapa saya tidak bisa mendownload gojek?,3
Lama dan galengkap,2
bagis,2
"Buat skema lain dengan login menggunakan email ya min. Jangan hanya menggunakan nomor hape saja untuk loginnya. Saya mau login dengan email, jadi tidak bisa, harus buat akun lagi ini malahan. Mohon untuk segera ditindaklanjuti ya. Terima kasih. Saya beri bintang 3 dulu, kalau udh jadi, saya kasih 5.",3
Erik X6 Full,2
Gila go-jek ada biaya sewa aplikasi untuk penanganan agar lebih baik kok dibebankan ke konsumen,1
Tidak menemukan lokasi yang di cari,1
setiap pesen gosen mesti jaraknya selalu jauh... dan nunggu lama.. mungkin harus ada perbaikan... klo ojol sebelah agak cepet,1
"Pelayanan semakin buruk, pesanan sering tidak sesuai dan tidak lengkap. CS penanganannya sangat lambaaat",1
kenapa saya upgrade gopay plusgabisa bisa padahal poto sudah jelas gaada blur sedikit pun aneh banget awalnya saya suka bamget tuh sama gopay malah gini balasan ke sayang!!!!!!!,1
"Kenapa sdh 2 bulan ini, setiap mau bayar gopaylater. Hrs upgrade trs ????",3
Driver nya kurang ajar,1
"TRANSFER KE REKENING BANK SAMPE SEKARANG BELUM MASUK"" GIMANA INI GOPAY, MOHON BANTUANNYA DONGG",3
Sangat jarang sekali ada promo digojek huhuhu,3
"Tolong untuk pihak gojek, untuk memperbaiki sistem aplikasi yang sering macet. Karena setiap pesan makanan, di aplikasi terus menerus stuk di menit 13 atau 11. Jadi tolong sekali lagi perbaiki, supaya customer dapat mengetahui driver sudah dimana dan apakah sudah mengantarkan pesanan. Kalau sudah diperbaiki, nanti bintang 5.",3
Saya kecewa biasa nya saya enak pake gonek sampe invest tapi stlah ada pembaruan saya susah banget buat ambil uang saya,2
"Ketika scan code qris langsung notif gojek terhenti, diperbaiki dong",1
"drivernya takut hujan semua, malas banget nunggu",1
Tambah lelet,1
"Tolong dong minta cs gopinjam,bingung sama kebijakannya,masa pinjem tgl 1 harus bayar tgl 22,gimana konsepnya?bangke amat,nyesel amat pinjem di gopinjam,",1
Driver nya sering nyasar karena katanya rutenya ga ada di map... Jadi kasih an driver muter muter.,2
"Setiap pesan makan srlalu dapet driver yg posisinya jauh banget dari titik resto. Pesen goride juga dapetnya malah dari sekitar lokasi tujuan saya,bukan lokasi terdekat saya berada",3
"Saya pengen balikkin akun pakek nomor baru, nunggu lama buat verivikasi padahal sinyal bagus, gimna ni gojek",1
"Harga ongkirnya jauh lebih mahal daripada ekspedisi paket, harga ongkirnya lebih mahal dri makanannya. Gak worth it harganya, jelekkkkk",3
makin males naik gojek soalnya driver nya jauh jauh trus ngejemput nya kadang lama padahal jalanan ga macet. trus juga salah satu driver ngatain monyet padahal udah di kasih tau detail tempat nya di mana wkwk nama driver nya agus setiawan yg ngatain monyet,1
Banyak bgt bug nya,2
"Isi pulsa di Gopulsa kg masuk2 chat cs kg ada respon bagai mana ini ,saya isi 100 ribu dan 10 ribu....",2
"Gasuka skrng Go-Jek untuk go ride nya pada sombong"" bgt nolak terus.",2
Mkin update mkin gj ngambil vocer nya juga gajelas hrus donlod aplah aplah gajelas mending yg dulu pliss pihak gojek benerin lgi,1
App ni bagus banget memudahkan transfortasi..bila di kejar waktu ..dan tolong yang g tau arah jalan jangan jadi driver ...,3
Turunin bintang nya kesel bener.... Lama2 ongkir sm biaya penanganan mahal banget kadang2 malah mau sama dengan harga makanan yg di order gila... Terus ngajuin paylater di tolak melulu padahal saya tiap hari order makanan track record gunain aplikasi gojek bagus gak di kasih paylater .. lama2 dongkol nih ntar aku hapus aja males gunain aplikasi ini jadinya,1
"Pake gosend paketan saya blm nyampe2 smpai sekarang, paketan yang dari bukalapak",1
"Driver nya pada gk bisa diandelin,, udh smpe depan mata tiba2 ngecancel",2
"Mohon maaf, tapi agak menyebalkan kalau lagi butuh ga bisa di pakai, updatenya maksa. Untung ada yang mau bagi wifi, KLO ga g bs dipakai",3
Ini mah jelek,2
Aplikasi gojek beberapa hari ini gak bisa di gunakan udah di uninstal terus instal lagi malah gak bsa masuk,1
"Menaikkan tarif ongkos gak mikir, Tdi pakai ke podomoro cuma 39.000 pas pulang nya ongkos nya udah 122.000 Nyesal pakai gojek",1
Sangat tidak manusiawi argo jarak jauh nya kepada mitra nya,1
Apk makin eror,1
"Sekarang pakai gojek susah cari driver , nunggu beberapa menit pun masih tetap driver sibuk/tdk di temukan..Mau order go food / go ride pun susah,mending pakai shopee sama grab saja langsung cepat dpet driver nya.",1
Babi.. cara top up pake link aja bagaimana.. di pilihannya ada.. tpi begitu mau d proses gabisa... Anjinggg... Menyusahkan sekali,1
Ini kenapa ngblank ya,1
Gajelas gabisa milih promo,2
Paylater ditolak mulu,2
transfer bank lama proses...nunggu 2.3 hari..parah.beralih ke dana aja lah atau shoope..kapok gua pake aplikasi ini...,1
"Upgrade gopay plus aja gagal terus, padahal e-KTP masih bagus",1
"Kalau bisa dikasih bintang 0,00000000000001 sudah saya kasih segitu. Wahai pemilik gojek, manajer2 perusahaan semua yang makam UANG HARAM tolonglah... stop. Jangan lah menganiaya orang terus dengan cara licikmu. Apa susahnya sih desain tombol safety, 5 detiikk aja... 5 detik agar kami bisa cancel pesanan. GAK SEMUA ORANG YANG CANCEL ITU ORANG JAHAT DEK GOJEK. Ada juga yg KEPENCET. Padahal 5 detik kalo org salah pencet bisa ngebatalin tanpa membebani resto yg juga belum menerima, kecuali kalian..",1
Aplikasi GO-JEK gx jelas. Gx bisa tujuan medan ke Perbaungan..,1
"Aplikasi ngelag parah, layanan buruk",1
"Gopay tolol akun gopay saya tiba"" terblokir padahal saya tidak melakukan transaksi apa pun, katanya ada nya pelanggaran komunitas, gopay tolol",1
Error setiap dibuka ...loading sebentar nutup sendiri....begitu terus....😭,1
"Trimakasih sudah memperbaikin aplikasi , sudah saya rubah bimtang ke 5 yaa",5
update terusssss capedeeeh,2
"hi, gojek aku kasih bintang 3 dulu, gini aku habis top up gopay kok belum masuk-masuk yah dari tadi ini gimana?",2
"skrg ga pernah dapet promo padhal sering make gojek, jadi mikir mikir skrg kalau make gojek",1
"Kendala tidak diselesaikan dengan baik, antara CS yang satu dengan yang lain berbeda penyelesaian Sangat mengecewakan dan tidak profesional",1
